id,name,css
"artegrasansextendedalt","Artegra Sans Extended Alt","Artegra Sans Extended Alt, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltbdit","Artegra Sans Extended Alt Bd It","Artegra Sans Extended Alt Bd It, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltblkit","Artegra Sans Extended Alt Blk It","Artegra Sans Extended Alt Blk It, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltexbdit","Artegra Sans Extended Alt Ex Bd It","Artegra Sans Extended Alt Ex Bd It, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltexltit","Artegra Sans Extended Alt Ex Lt It","Artegra Sans Extended Alt Ex Lt It, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltextbd","Artegra Sans Extended Alt Ext Bd","Artegra Sans Extended Alt Ext Bd, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltextlt","Artegra Sans Extended Alt Ext Lt","Artegra Sans Extended Alt Ext Lt, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltltit","Artegra Sans Extended Alt Lt It","Artegra Sans Extended Alt Lt It, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltmedita","Artegra Sans Extended Alt Med Ita","Artegra Sans Extended Alt Med Ita, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltreg","Artegra Sans Extended Alt Reg","Artegra Sans Extended Alt Reg, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltsembd","Artegra Sans Extended Alt Sem Bd","Artegra Sans Extended Alt Sem Bd, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltsmbdit","Artegra Sans Extended Alt Sm Bd It","Artegra Sans Extended Alt Sm Bd It, system-ui, -apple-system, sans-serif"
"artegrasansextendedaltthit","Artegra Sans Extended Alt Th It","Artegra Sans Extended Alt Th It, system-ui, -apple-system, sans-serif"
"artegrasansextendedblackita","Artegra Sans Extended Black Ita","Artegra Sans Extended Black Ita, system-ui, -apple-system, sans-serif"
"artegrasansextendedboldita","Artegra Sans Extended Bold Ita","Artegra Sans Extended Bold Ita, system-ui, -apple-system, sans-serif"
"artegrasansextendedextbdita","Artegra Sans Extended Ext Bd Ita","Artegra Sans Extended Ext Bd Ita, system-ui, -apple-system, sans-serif"
"artegrasansextendedextlt","Artegra Sans Extended Ext Lt","Artegra Sans Extended Ext Lt, system-ui, -apple-system, sans-serif"
"artegrasansextendedextlt1","Artegra Sans Extended Ext Lt1","Artegra Sans Extended Ext Lt1, system-ui, -apple-system, sans-serif"
"artegrasansextendedmedexp","Artegra Sans Extended Med Exp","Artegra Sans Extended Med Exp, system-ui, -apple-system, sans-serif"
"artegrasansextendedmedita","Artegra Sans Extended Med Ita","Artegra Sans Extended Med Ita, system-ui, -apple-system, sans-serif"
"artegrasansextendedsc","Artegra Sans Extended SC","Artegra Sans Extended SC, system-ui, -apple-system, sans-serif"
"artegrasansextendedscblkit","Artegra Sans Extended SC Blk It","Artegra Sans Extended SC Blk It, system-ui, -apple-system, sans-serif"
"artegrasansextendedscboldita","Artegra Sans Extended SC Bold Ita","Artegra Sans Extended SC Bold Ita, system-ui, -apple-system, sans-serif"
"artegrasansextendedscexbdit","Artegra Sans Extended SC Ex Bd It","Artegra Sans Extended SC Ex Bd It, system-ui, -apple-system, sans-serif"
"artegrasansextendedscexltit","Artegra Sans Extended SC Ex Lt It","Artegra Sans Extended SC Ex Lt It, system-ui, -apple-system, sans-serif"
"artegrasansextendedscextbd","Artegra Sans Extended SC Ext Bd","Artegra Sans Extended SC Ext Bd, system-ui, -apple-system, sans-serif"
"artegrasansextendedscextlt","Artegra Sans Extended SC Ext Lt","Artegra Sans Extended SC Ext Lt, system-ui, -apple-system, sans-serif"
"artegrasansextendedscltit","Artegra Sans Extended SC Lt It","Artegra Sans Extended SC Lt It, system-ui, -apple-system, sans-serif"
"artegrasansextendedscmedita","Artegra Sans Extended SC Med Ita","Artegra Sans Extended SC Med Ita, system-ui, -apple-system, sans-serif"
"artegrasansextendedscsembd","Artegra Sans Extended SC Sem Bd","Artegra Sans Extended SC Sem Bd, system-ui, -apple-system, sans-serif"
"artegrasansextendedscsmbdit","Artegra Sans Extended SC Sm Bd It","Artegra Sans Extended SC Sm Bd It, system-ui, -apple-system, sans-serif"
"artegrasansextendedsembdita","Artegra Sans Extended Sem Bd Ita","Artegra Sans Extended Sem Bd Ita, system-ui, -apple-system, sans-serif"
"artegrasanssc","Artegra Sans SC","Artegra Sans SC, system-ui, -apple-system, sans-serif"
"artegrasansscextltita","Artegra Sans SC Ext Lt Ita","Artegra Sans SC Ext Lt Ita, system-ui, -apple-system, sans-serif"
"attractive","Attractive","Attractive, system-ui, -apple-system, sans-serif"
"attractivecond","Attractive Cond","Attractive Cond, system-ui, -apple-system, sans-serif"
"attractivecondhairline","Attractive Cond Hair Line","Attractive Cond Hair Line, system-ui, -apple-system, sans-serif"
"attractiveextracond","Attractive Extra Cond","Attractive Extra Cond, system-ui, -apple-system, sans-serif"
"attractiveextracondhairline","Attractive Extra Cond Hair Line","Attractive Extra Cond Hair Line, system-ui, -apple-system, sans-serif"
